0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4756892	902644	74161	4238	2119	0
4595857	875099	59329	0	0	0
4591619	856029	42378	2119	0	0
4591619	849672	65685	6357	2119	0
4699682	813651	57210	2119	0	0
4619165	841197	38140	2119	0	0
4640354	849672	55091	0	0	0
4549242	862385	65685	2119	0	0
4494151	875099	50853	0	0	0
4436941	898406	38140	0	0	0
4519577	889931	44497	0	0	0
4771725	879336	33902	2119	0	0
4646710	828483	55091	0	0	0
4695445	847553	46615	0	0	0
4727228	955616	48734	0	0	0
4458130	843315	46615	0	0	0
4597976	832721	52972	0	0	0
4655186	951378	42378	4238	0	0
4547123	879336	33902	0	0	0
4445417	864504	50853	0	0	0
4475081	792462	55091	0	0	0
4568312	881455	50853	2119	0	0
4699682	934427	57210	2119	0	0
4678494	915357	65685	0	0	0
4557717	807294	31783	0	0	0
4405158	788224	38140	2119	0	0
4528053	911120	46615	0	0	0
4494151	783987	44497	0	0	0
4587382	841197	42378	0	0	0
4784438	851791	48734	0	0	0
4570431	796700	55091	0	0	0
4456011	743728	48734	0	0	0
4843767	1012826	48734	0	0	0
4752655	928071	48734	2119	0	0
4737822	822127	48734	6357	2119	0
4542885	803057	57210	0	0	0
4475081	809413	63566	0	0	0
4744179	877218	38140	0	0	0
4415752	911120	55091	2119	2119	0
4699682	836959	55091	2119	0	0
4716634	932309	52972	2119	0	0
4511102	803057	46615	0	0	0
4542885	767036	36021	4238	2119	0
4581025	841197	55091	0	0	0
4485675	839078	67804	0	0	0
4572550	881455	55091	2119	0	0
4731466	845434	42378	2119	0	0
4735704	824245	52972	0	0	0
4551361	752203	29664	0	0	0
4631878	862385	61448	4238	0	0
4648829	872980	40259	0	0	0
4659424	851791	55091	2119	2119	2119
4498389	851791	46615	0	0	0
4689088	883574	48734	0	0	0
4672137	824245	61448	0	0	0
4614927	843315	61448	2119	0	0
4667899	879336	48734	0	0	0
4523815	866623	46615	0	0	0
4697564	881455	50853	0	0	0
4540766	822127	42378	2119	0	0
4475081	815770	23308	2119	0	0
4502626	820008	59329	2119	0	0
4585263	817889	52972	2119	0	0
4746298	826364	33902	0	0	0
4549242	841197	50853	2119	2119	0
4667899	868742	50853	0	0	0
4695445	866623	61448	0	0	0
4691207	879336	50853	2119	0	0
4693326	894169	48734	0	0	0
4653067	790343	50853	0	0	0
4727228	860266	38140	0	0	0
4650948	841197	40259	0	0	0
4502626	809413	44497	2119	0	0
4566193	841197	42378	2119	0	0
4502626	830602	50853	0	0	0
4617046	870861	67804	0	0	0
4716634	849672	48734	0	0	0
4294976	798819	48734	0	0	0
4519577	853910	50853	2119	0	0
4636116	851791	40259	0	0	0
4521696	798819	44497	0	0	0
4691207	764917	33902	0	0	0
4472962	856029	46615	2119	0	0
4430584	858148	36021	0	0	0
4318284	805176	57210	0	0	0
4602214	792462	57210	0	0	0
4837410	904763	57210	0	0	0
4593738	783987	44497	0	0	0
4515340	860266	55091	0	0	0
4710277	843315	44497	0	0	0
4623403	877218	31783	0	0	0
4570431	870861	67804	0	0	0
4602214	849672	38140	0	0	0
4528053	826364	52972	0	0	0
4494151	883574	46615	0	0	0
4407277	760679	40259	0	0	0
4720871	892050	52972	0	0	0
4693326	870861	72042	4238	0	0
4551361	790343	38140	2119	0	0
4559836	921714	40259	0	0	0
4614927	786106	48734	0	0	0
4837410	839078	48734	0	0	0
4572550	862385	63566	0	0	0
4487794	798819	44497	0	0	0
4487794	834840	33902	0	0	0
4487794	836959	42378	2119	0	0
4540766	798819	48734	0	0	0
4661543	813651	38140	2119	0	0
4612808	805176	42378	0	0	0
4784438	866623	57210	0	0	0
4581025	841197	44497	0	0	0
4498389	847553	33902	0	0	0
4642473	853910	48734	0	0	0
4508983	781868	42378	4238	0	0
4631878	815770	31783	0	0	0
4767487	902644	50853	0	0	0
4392444	756441	46615	2119	0	0
4653067	864504	65685	0	0	0
4570431	798819	46615	0	0	0
4733585	881455	67804	2119	0	0
4519577	851791	50853	2119	0	0
4386088	834840	42378	0	0	0
4557717	792462	38140	2119	0	0
4466605	885693	48734	0	0	0
4500507	828483	59329	2119	0	0
4617046	949260	50853	2119	0	0
4483556	894169	46615	2119	0	0
4523815	851791	38140	0	0	0
4754773	889931	65685	4238	0	0
4682731	830602	55091	2119	0	0
4627640	834840	38140	2119	0	0
4706039	896288	48734	0	0	0
4576787	794581	46615	0	0	0
4396682	805176	31783	2119	0	0
4477200	856029	31783	0	0	0
4542885	885693	48734	0	0	0
4561955	771273	61448	0	0	0
4604333	940784	57210	0	0	0
4388207	792462	36021	0	0	0
4449654	805176	50853	0	0	0
4557717	851791	33902	0	0	0
4447535	862385	50853	0	0	0
4655186	959854	50853	0	0	0
4424228	845434	38140	2119	2119	0
4470843	883574	52972	2119	0	0
4328878	760679	40259	0	0	0
4477200	807294	63566	0	0	0
4638235	834840	31783	0	0	0
4496270	830602	40259	2119	2119	0
4805627	860266	44497	4238	0	0
4585263	866623	52972	0	0	0
4697564	968330	59329	0	0	0
4638235	758560	42378	2119	0	0
4691207	849672	46615	0	0	0
4633997	856029	42378	2119	0	0
4498389	911120	69923	2119	0	0
4555598	872980	55091	0	0	0
4581025	885693	46615	2119	2119	0
4479319	870861	48734	4238	0	0
4648829	820008	44497	0	0	0
4458130	832721	72042	0	0	0
4456011	767036	48734	0	0	0
4439060	856029	72042	0	0	0
4530172	909001	69923	8476	4238	0
4987851	1031896	139846	50853	16951	0
5025990	1048847	201294	44497	6357	0
4826815	961973	125014	57210	19070	2119
4807746	909001	59329	4238	4238	0
4559836	872980	50853	0	0	0
4553480	849672	44497	4238	2119	0
4576787	839078	50853	6357	2119	2119
4604333	909001	33902	0	0	0
4301332	872980	48734	2119	0	0
4441179	868742	55091	4238	0	0
4587382	877218	55091	2119	2119	0
4727228	902644	52972	4238	2119	0
4737822	906882	52972	4238	2119	0
4517459	858148	57210	2119	0	0
4670018	887812	42378	0	0	0
4648829	847553	76280	6357	2119	0
4489913	923833	84755	4238	2119	0
4436941	913239	52972	0	0	0
4644592	832721	63566	8476	2119	2119
4528053	898406	57210	2119	0	0
4629759	887812	61448	4238	2119	0
4506864	917476	52972	2119	0	0
4631878	911120	72042	2119	0	0
4545004	824245	63566	6357	0	0
4477200	839078	46615	2119	2119	0
4377612	915357	65685	2119	0	0
4612808	959854	63566	4238	2119	0
4536529	909001	40259	4238	2119	0
4523815	830602	72042	4238	0	0
4686969	872980	52972	2119	0	0
4542885	839078	74161	2119	0	0
4347948	875099	55091	0	0	0
4640354	881455	69923	6357	4238	2119
4547123	858148	67804	8476	2119	0
4422109	925952	65685	2119	0	0
4720871	911120	67804	4238	0	0
4451773	843315	44497	6357	0	0
4432703	909001	46615	0	0	0
4456011	767036	46615	2119	0	0
4494151	845434	55091	2119	0	0
4625522	862385	38140	2119	2119	0
4799270	851791	61448	10594	4238	0
4557717	813651	42378	2119	0	0
4636116	862385	44497	2119	0	0
4667899	881455	59329	2119	0	0
4561955	820008	42378	4238	2119	0
4663661	870861	50853	4238	0	0
4729347	936546	69923	2119	0	0
4445417	936546	55091	0	0	0
4629759	900525	23308	0	0	0
4608571	834840	52972	2119	0	0
4400920	809413	38140	8476	2119	0
4684850	845434	57210	4238	2119	0
4589501	938665	67804	0	0	0
4623403	964092	63566	2119	0	0
4523815	858148	48734	2119	0	0
4320402	847553	52972	0	0	0
4604333	836959	27545	2119	2119	2119
4547123	834840	33902	0	0	0
4479319	786106	50853	0	0	0
4633997	841197	42378	2119	0	0
4621284	864504	42378	2119	0	0
4561955	775511	61448	8476	2119	0
4576787	889931	42378	4238	2119	2119
4523815	866623	40259	0	0	0
4369137	790343	57210	0	0	0
4468724	805176	48734	0	0	0
4498389	849672	55091	4238	0	0
4472962	788224	46615	2119	0	0
4602214	919595	57210	4238	0	0
4447535	900525	57210	2119	0	0
4665780	942903	55091	4238	4238	0
4633997	868742	42378	2119	2119	2119
4386088	875099	69923	4238	0	0
4324640	843315	40259	0	0	0
4540766	866623	48734	0	0	0
4602214	885693	52972	6357	2119	0
4398801	841197	63566	4238	0	0
4792913	883574	42378	0	0	0
4739941	877218	59329	2119	0	0
4638235	862385	67804	2119	2119	0
4403039	853910	44497	0	0	0
4458130	820008	59329	6357	0	0
4663661	875099	80518	6357	2119	0
4614927	858148	50853	2119	0	0
4530172	904763	55091	2119	2119	0
4530172	858148	50853	2119	0	0
4347948	788224	44497	0	0	0
4472962	832721	48734	0	0	0
4456011	826364	42378	0	0	0
4650948	836959	69923	2119	0	0
4441179	803057	57210	4238	0	0
4617046	892050	55091	4238	2119	0
4477200	811532	42378	2119	2119	0
4407277	883574	40259	2119	0	0
4555598	860266	59329	2119	0	0
4428465	824245	50853	0	0	0
4746298	936546	72042	2119	2119	0
4720871	887812	65685	2119	0	0
4447535	877218	67804	4238	2119	0
4606452	883574	59329	8476	4238	0
4570431	864504	46615	4238	0	0
4667899	978924	57210	4238	2119	0
4311927	839078	42378	0	0	0
4525934	864504	44497	4238	2119	0
4487794	894169	52972	2119	0	0
4506864	845434	69923	0	0	0
4521696	767036	38140	4238	4238	0
4564074	917476	63566	0	0	0
4701801	883574	74161	0	0	0
4523815	856029	67804	4238	0	0
4642473	934427	55091	2119	2119	0
4566193	919595	44497	2119	0	0
4464486	872980	50853	2119	0	0
4576787	839078	48734	4238	2119	0
4521696	906882	44497	2119	0	0
4667899	839078	55091	2119	2119	2119
4394563	856029	46615	2119	0	0
4506864	894169	44497	0	0	0
4667899	872980	63566	2119	2119	0
4583144	828483	42378	4238	2119	0
4549242	919595	46615	2119	0	0
4585263	853910	52972	2119	0	0
4504745	853910	40259	0	0	0
4591619	864504	40259	0	0	0
4504745	826364	46615	2119	2119	0
4557717	947141	46615	0	0	0
4477200	790343	63566	0	0	0
4542885	853910	65685	2119	0	0
4464486	862385	55091	4238	0	0
4636116	885693	61448	2119	0	0
4619165	862385	48734	4238	2119	0
4464486	788224	52972	0	0	0
