0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4297095	928071	139846	27545	14832	0
4498389	928071	184343	50853	21189	8476
4504745	1031896	203413	52972	21189	8476
4568312	1029777	177986	50853	25427	8476
4714515	1080630	216126	55091	31783	14832
4479319	974686	188581	44497	25427	8476
4564074	991637	171630	42378	14832	4238
4678494	947141	169511	42378	25427	10594
4466605	1034015	173748	48734	23308	8476
4631878	1008588	182224	55091	27545	8476
4608571	1025539	184343	57210	36021	12713
4496270	1017064	163154	38140	21189	4238
4407277	909001	144084	29664	21189	6357
4608571	1019183	169511	38140	16951	6357
4710277	1091225	207651	42378	12713	0
4500507	934427	156797	23308	16951	8476
4267430	898406	165273	29664	14832	12713
4638235	1023420	173748	38140	23308	12713
4722990	1042490	186462	42378	25427	2119
4462368	892050	122895	38140	19070	6357
4638235	1040372	180105	50853	23308	6357
4256836	940784	175867	25427	4238	4238
4496270	968330	144084	36021	10594	2119
4530172	906882	129252	21189	8476	2119
4625522	1061560	163154	38140	21189	8476
4572550	919595	141965	48734	31783	12713
4356423	1027658	131371	25427	6357	2119
4341591	983162	105944	19070	8476	0
4739941	981043	194937	44497	21189	10594
4576787	1006469	141965	23308	10594	2119
4695445	989518	167392	59329	27545	4238
4483556	991637	163154	31783	10594	8476
4881906	1061560	156797	46615	23308	2119
4485675	942903	139846	44497	12713	6357
4417871	964092	163154	42378	16951	8476
4390326	959854	133490	33902	12713	2119
4610689	983162	116539	25427	12713	8476
4525934	945022	135609	29664	6357	2119
4682731	928071	122895	31783	16951	4238
4373375	906882	112301	27545	12713	4238
4443298	1036134	139846	23308	10594	2119
4434822	1004351	131371	21189	12713	2119
4517459	961973	177986	29664	19070	2119
4464486	868742	116539	21189	6357	2119
4621284	981043	158916	36021	12713	4238
4589501	966211	146203	36021	10594	0
4591619	911120	116539	23308	10594	4238
4811983	1019183	152560	42378	23308	4238
4405158	993756	122895	29664	14832	0
4610689	1048847	167392	25427	10594	0
4826815	991637	163154	36021	14832	4238
4644592	968330	144084	27545	16951	4238
4674256	917476	97469	27545	14832	4238
4585263	1070036	139846	19070	12713	6357
4498389	883574	97469	21189	8476	2119
4335235	906882	95350	16951	10594	2119
4536529	917476	120776	16951	8476	0
4407277	978924	110182	21189	6357	2119
4521696	940784	103825	19070	6357	2119
4464486	934427	120776	21189	8476	2119
4367018	928071	97469	12713	4238	2119
4453892	951378	88993	19070	6357	0
4653067	1074274	141965	16951	8476	2119
4354305	940784	122895	21189	12713	4238
4589501	940784	139846	16951	6357	2119
4542885	896288	116539	25427	14832	2119
4398801	909001	101706	25427	10594	4238
4409396	976805	125014	16951	8476	0
4504745	879336	108063	12713	8476	0
4275906	860266	80518	10594	4238	0
4212339	851791	95350	10594	6357	0
4417871	877218	112301	21189	12713	4238
4407277	978924	127133	14832	2119	2119
4483556	932309	105944	21189	6357	0
4472962	913239	108063	25427	8476	0
4545004	940784	137727	19070	8476	2119
4540766	900525	110182	25427	8476	4238
4335235	885693	101706	14832	2119	2119
4275906	936546	116539	14832	4238	0
4419990	968330	127133	10594	0	0
4356423	930190	84755	10594	4238	0
4811983	938665	114420	16951	4238	0
4655186	919595	112301	16951	6357	2119
4475081	964092	118657	16951	10594	4238
4525934	917476	114420	23308	12713	8476
4515340	976805	101706	14832	6357	4238
4422109	970448	120776	14832	6357	0
4640354	1004351	152560	31783	10594	2119
4494151	1000113	110182	21189	10594	0
4508983	983162	116539	16951	8476	0
4449654	879336	93231	21189	4238	0
4519577	951378	105944	14832	2119	0
