0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
2447310	489462	61448	19070	6357	0
2443072	455560	52972	12713	8476	0
2421883	413182	57210	16951	6357	2119
2606226	555147	95350	16951	10594	0
2487569	444965	69923	12713	6357	6357
2451548	497938	57210	8476	4238	2119
2377387	529721	65685	8476	2119	0
2400694	476749	61448	19070	12713	2119
2311701	483105	69923	8476	2119	2119
2445191	474630	52972	10594	2119	0
2527827	449203	55091	14832	8476	6357
2303226	451322	44497	4238	2119	2119
2500282	440728	59329	4238	2119	0
2434597	461916	72042	12713	8476	4238
2419764	413182	29664	6357	2119	0
2413408	468273	61448	14832	4238	2119
2419764	436490	61448	14832	6357	2119
2517233	544553	57210	6357	2119	0
2443072	459798	46615	10594	4238	0
2506639	440728	55091	10594	0	0
2332890	421658	38140	12713	0	0
2298988	470392	44497	14832	2119	0
2451548	500056	44497	14832	0	0
2447310	381399	40259	10594	6357	2119
2330771	500056	38140	0	0	0
2424002	449203	44497	8476	0	0
2271443	408944	38140	4238	0	0
2462142	461916	69923	12713	8476	4238
2345603	470392	59329	6357	2119	0
2392219	444965	44497	6357	2119	0
2315939	442847	72042	2119	0	0
2345603	485224	50853	0	0	0
2349841	457679	46615	6357	2119	2119
2379506	447084	40259	6357	2119	2119
2375268	419539	40259	10594	4238	0
2273561	483105	42378	6357	4238	0
2362555	417420	40259	6357	4238	0
2523590	474630	46615	4238	2119	2119
2460023	451322	72042	14832	4238	0
2392219	430133	42378	2119	0	0
2320177	432252	40259	0	0	0
2330771	428014	48734	6357	6357	2119
2426121	464035	31783	6357	4238	0
2324415	438609	52972	10594	4238	2119
2237540	423777	42378	10594	2119	0
2407051	436490	25427	2119	2119	0
2243897	432252	57210	6357	2119	0
2298988	491581	42378	6357	2119	0
2273561	423777	38140	2119	0	0
2265086	423777	42378	4238	0	0
2296869	408944	23308	4238	2119	0
2303226	415301	40259	6357	4238	0
2337128	455560	33902	10594	2119	0
2385862	506413	55091	4238	0	0
2394338	466154	31783	4238	0	0
2315939	468273	29664	4238	2119	0
2438834	436490	48734	6357	6357	2119
2354079	430133	33902	6357	2119	2119
2265086	434371	36021	2119	0	0
2201519	430133	31783	4238	2119	0
2464261	447084	25427	2119	2119	0
2354079	404707	44497	6357	2119	0
2394338	438609	27545	4238	2119	0
2226946	434371	42378	2119	0	0
2224827	404707	31783	0	0	0
2229065	379280	40259	6357	2119	0
2379506	447084	25427	2119	2119	0
2356198	444965	36021	6357	2119	0
2296869	442847	21189	6357	2119	0
2385862	372923	21189	0	0	0
2146428	434371	23308	2119	2119	0
2298988	459798	50853	2119	0	0
2409170	483105	40259	2119	2119	0
2262967	364448	25427	0	0	0
2411289	466154	25427	0	0	0
2326534	438609	42378	0	0	0
2292631	421658	33902	6357	0	0
2407051	415301	46615	6357	2119	2119
2254492	389874	27545	4238	2119	2119
2404932	383518	29664	0	0	0
2421883	428014	23308	8476	2119	0
2345603	406826	38140	6357	2119	0
2262967	396231	38140	2119	0	0
2269324	423777	36021	0	0	0
2290513	434371	25427	2119	0	0
2366792	402588	33902	0	0	0
2332890	398350	33902	12713	6357	4238
2303226	398350	21189	0	0	0
2256610	372923	27545	2119	0	0
2315939	398350	23308	2119	2119	0
2150666	415301	23308	0	0	0
2277799	368686	31783	4238	2119	0
2195163	394112	27545	0	0	0
2400694	394112	25427	0	0	0
2250254	377161	29664	4238	0	0
2305345	438609	29664	6357	0	0
2214233	447084	25427	2119	0	0
2262967	341140	27545	4238	0	0
2254492	457679	19070	2119	2119	0
2173974	379280	27545	0	0	0
2243897	404707	23308	2119	2119	2119
2335009	455560	25427	0	0	0
2496044	430133	19070	2119	2119	0
2318058	391993	29664	0	0	0
2373149	417420	21189	2119	2119	0
2235422	438609	25427	0	0	0
2250254	360210	19070	2119	0	0
2260848	419539	16951	0	0	0
2315939	368686	29664	4238	2119	0
2231184	430133	21189	6357	2119	0
2220589	370805	46615	2119	2119	0
2248135	383518	27545	2119	2119	2119
2404932	404707	23308	0	0	0
2303226	381399	29664	0	0	0
2332890	417420	36021	0	0	0
2292631	408944	31783	8476	2119	0
2197282	402588	23308	2119	2119	0
2205757	406826	21189	4238	0	0
2239659	468273	31783	2119	0	0
2371030	419539	21189	0	0	0
2330771	442847	29664	0	0	0
2205757	402588	27545	2119	2119	0
2243897	404707	23308	2119	0	0
2269324	425895	21189	0	0	0
2241778	421658	42378	2119	0	0
2246016	372923	19070	2119	0	0
2313820	394112	29664	2119	0	0
2226946	419539	14832	0	0	0
2303226	444965	29664	0	0	0
2260848	381399	27545	0	0	0
2315939	428014	21189	2119	0	0
2252373	428014	25427	2119	0	0
2290513	391993	27545	0	0	0
2413408	415301	29664	2119	0	0
2368911	404707	25427	0	0	0
2390100	389874	27545	4238	2119	0
2265086	377161	31783	4238	0	0
2178212	368686	10594	0	0	0
2229065	398350	38140	4238	0	0
2173974	377161	27545	0	0	0
2152785	408944	27545	0	0	0
2201519	387756	23308	0	0	0
2260848	391993	23308	2119	0	0
2256610	411063	14832	4238	0	0
2298988	413182	33902	2119	0	0
2226946	351735	27545	2119	0	0
2248135	434371	25427	0	0	0
2275680	419539	29664	0	0	0
2322296	444965	29664	0	0	0
2233303	404707	44497	8476	2119	0
2296869	413182	29664	0	0	0
2220589	368686	25427	2119	2119	0
2203638	428014	27545	4238	0	0
2309582	453441	33902	0	0	0
2216352	391993	21189	2119	2119	2119
2296869	478868	16951	0	0	0
2224827	440728	19070	2119	0	0
2415527	440728	27545	0	0	0
2129477	381399	23308	0	0	0
2267205	336902	25427	0	0	0
2392219	394112	36021	0	0	0
2218471	406826	21189	0	0	0
2241778	394112	27545	2119	0	0
2332890	406826	40259	2119	2119	0
2173974	408944	25427	2119	0	0
2284156	419539	21189	2119	0	0
2182449	398350	14832	2119	0	0
2165498	372923	21189	2119	0	0
2267205	428014	23308	0	0	0
2260848	413182	27545	2119	0	0
2220589	400469	27545	0	0	0
2222708	428014	31783	0	0	0
2250254	417420	33902	0	0	0
2226946	400469	14832	2119	2119	2119
2178212	402588	23308	0	0	0
2282037	402588	19070	4238	0	0
2190925	349616	21189	0	0	0
2224827	383518	21189	0	0	0
2235422	423777	29664	0	0	0
2237540	343259	29664	2119	0	0
2129477	396231	19070	2119	0	0
2250254	383518	27545	0	0	0
2256610	375042	19070	0	0	0
2318058	400469	19070	0	0	0
2201519	377161	21189	0	0	0
2286275	406826	40259	0	0	0
2176093	389874	12713	0	0	0
2169736	381399	19070	0	0	0
2332890	398350	23308	2119	2119	0
2241778	360210	21189	2119	2119	0
2330771	389874	19070	2119	0	0
2214233	368686	27545	0	0	0
2157023	415301	25427	2119	0	0
2173974	404707	21189	2119	0	0
2307464	385637	14832	0	0	0
2180331	430133	27545	0	0	0
2197282	421658	21189	0	0	0
2212114	434371	16951	0	0	0
2275680	423777	10594	0	0	0
2390100	387756	21189	0	0	0
2186687	391993	27545	2119	0	0
2271443	417420	16951	0	0	0
2413408	398350	23308	2119	2119	0
2309582	358091	23308	4238	0	0
2201519	362329	21189	0	0	0
2222708	404707	25427	0	0	0
2222708	413182	23308	2119	0	0
2286275	362329	12713	2119	0	0
2326534	379280	25427	2119	2119	0
2301107	368686	25427	4238	2119	0
2250254	402588	31783	0	0	0
2358317	402588	19070	0	0	0
2341366	402588	14832	0	0	0
2190925	436490	23308	2119	2119	0
2279918	428014	29664	0	0	0
2203638	398350	25427	2119	0	0
2199401	417420	16951	0	0	0
2231184	406826	40259	2119	0	0
2233303	364448	19070	0	0	0
2150666	381399	23308	2119	0	0
2282037	408944	31783	0	0	0
2241778	411063	36021	12713	4238	2119
2260848	421658	46615	8476	4238	0
2303226	387756	16951	4238	4238	0
2239659	360210	29664	4238	2119	0
2275680	406826	33902	4238	2119	0
2237540	398350	23308	4238	0	0
2212114	347497	36021	4238	2119	0
2345603	417420	38140	14832	4238	0
2381624	487343	48734	8476	4238	0
2358317	434371	44497	8476	4238	0
2173974	436490	44497	10594	0	0
2345603	413182	44497	16951	2119	0
2320177	497938	76280	14832	4238	0
2402813	428014	63566	6357	4238	0
2411289	461916	76280	25427	12713	0
2555373	517007	80518	14832	10594	0
2407051	470392	74161	25427	8476	0
2551135	495819	82636	27545	14832	0
2237540	457679	63566	27545	6357	0
2260848	442847	76280	12713	2119	0
2318058	466154	99588	16951	4238	0
2428240	519126	105944	23308	6357	0
2553254	495819	74161	23308	8476	2119
2362555	461916	78399	16951	4238	0
2330771	480986	80518	33902	14832	2119
2404932	485224	76280	16951	4238	0
2576562	512770	95350	31783	8476	0
2506639	589049	122895	23308	6357	0
2610464	548791	99588	23308	6357	2119
2544778	559385	116539	33902	8476	2119
2504520	546672	125014	27545	6357	0
2546897	533959	122895	36021	14832	2119
2481212	567861	118657	27545	10594	0
2424002	506413	97469	23308	8476	4238
2568086	527602	105944	33902	8476	0
2404932	565742	129252	25427	8476	2119
2515114	550910	127133	42378	21189	2119
2587156	504294	114420	36021	16951	0
2650723	531840	105944	29664	14832	4238
2392219	521245	125014	31783	8476	0
2525709	521245	144084	46615	12713	2119
2614702	572098	141965	46615	12713	0
2381624	502175	114420	8476	4238	0
2502401	601763	129252	33902	12713	0
2631653	546672	116539	36021	14832	2119
2476974	485224	101706	21189	8476	2119
2470618	514889	127133	31783	4238	0
2623177	540315	125014	25427	12713	2119
2512995	548791	116539	29664	6357	0
2496044	627189	133490	40259	8476	0
2438834	561504	135609	36021	8476	0
2375268	586931	135609	16951	6357	0
2430359	635665	131371	38140	10594	2119
2436715	506413	135609	14832	6357	0
2565967	561504	110182	31783	6357	0
2674030	612357	129252	29664	12713	0
2512995	546672	120776	38140	16951	0
2432478	603882	135609	23308	2119	0
2542660	563623	118657	40259	10594	0
2303226	557266	125014	31783	12713	4238
2496044	544553	110182	31783	8476	2119
2529946	584812	139846	40259	10594	0
2515114	580574	127133	36021	14832	0
2629534	559385	105944	27545	10594	0
2508757	542434	118657	25427	10594	2119
2493925	544553	103825	14832	8476	0
2519352	555147	133490	50853	10594	0
2534184	606001	146203	38140	12713	0
2466380	595406	118657	38140	12713	6357
2407051	563623	129252	29664	12713	2119
2587156	550910	144084	29664	12713	0
2398576	489462	127133	31783	14832	0
2417646	550910	131371	31783	8476	0
2269324	533959	129252	23308	2119	2119
2460023	563623	105944	25427	4238	2119
2479093	582693	127133	36021	12713	2119
2496044	569980	127133	29664	6357	0
2627415	569980	131371	40259	12713	0
2387981	561504	114420	21189	14832	2119
2392219	610238	141965	23308	6357	0
2286275	555147	91112	25427	6357	2119
2440953	550910	125014	42378	8476	0
2411289	563623	116539	29664	4238	0
2347722	510651	93231	21189	6357	0
2500282	601763	137727	27545	6357	0
2424002	491581	95350	23308	8476	0
2392219	553028	133490	27545	10594	0
2366792	529721	137727	27545	4238	2119
2396457	582693	139846	21189	8476	2119
2301107	565742	144084	27545	8476	0
2464261	542434	108063	19070	6357	0
2379506	567861	112301	21189	2119	0
2479093	631427	129252	36021	14832	2119
2358317	553028	125014	23308	14832	2119
2402813	553028	99588	21189	4238	0
2407051	495819	148322	23308	4238	0
2343485	536077	120776	33902	10594	0
2415527	519126	139846	29664	10594	0
2470618	625070	129252	38140	8476	0
2390100	538196	120776	31783	6357	0
2318058	603882	118657	23308	6357	0
2326534	561504	108063	19070	4238	0
2347722	591168	110182	27545	8476	0
2381624	572098	135609	36021	6357	0
2449429	506413	116539	27545	10594	2119
2474855	533959	108063	16951	6357	0
2404932	572098	137727	16951	4238	0
2381624	569980	116539	40259	6357	0
