0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
189301007	77173250	23547853	8051755	2196575	31783
169503577	59710123	8369588	621539	60035	3531
155070452	52004452	7045286	459091	74161	3531
130438437	38846188	5459655	349616	24720	0
100346767	23148797	3436122	317832	35315	0
55853756	7260706	1793988	169511	21189	3531
37278215	4583850	1190106	77692	7063	0
30790901	4085913	1017064	42378	7063	3531
28788557	4082381	914651	28252	7063	0
29332404	4216577	960560	42378	7063	0
27870374	4068255	967623	45909	10594	0
26344779	3930528	868742	56504	3531	0
26267086	3810458	815770	24720	7063	0
25302994	3679793	759266	42378	10594	0
25769149	3941122	815770	42378	7063	0
25747960	3439653	829896	38846	24720	0
23537259	3824584	794581	38846	7063	0
22809775	3453779	702763	24720	10594	0
23650266	3538535	702763	35315	14126	3531
17117043	3418465	660385	31783	0	0
16082322	2973499	649791	52972	17657	14126
16597917	3344304	695700	21189	7063	3531
16788616	3047660	632133	28252	10594	3531
16248301	3277206	681574	31783	7063	3531
15580853	2924059	533252	21189	7063	3531
14609698	2751016	529721	17657	3531	0
15026412	2881681	596819	45909	10594	3531
15252426	2959373	610945	10594	3531	3531
15022880	2796926	536784	45909	14126	3531
14645013	2839303	547378	38846	3531	3531
14231831	2535597	550910	17657	10594	3531
13998754	2761611	522658	21189	10594	3531
14115292	2712170	600350	42378	3531	3531
14048194	2715702	565035	24720	3531	0
14214173	2906401	579161	24720	3531	0
13829243	2828709	589756	28252	10594	7063
13790397	2641541	575630	35315	14126	0
13271271	2620352	483812	38846	14126	0
13627949	2648604	501469	17657	7063	3531
19617325	5021753	1628008	91818	35315	0
21665579	5124165	1599757	116539	28252	3531
49108645	17650295	11713892	4601508	1080630	17657
112533876	91624032	85850076	48720183	14662670	109476
266424817	263790339	263790339	172678370	76721222	1179512
316264477	313135593	313135593	204740601	82961332	886399
413648339	409555364	409555364	263942192	111785204	1416120
136057009	114967060	102981245	66614150	30183488	543847
199528149	188019083	182478204	119713358	51333472	625070
128241862	102988308	86111405	55136867	24554322	469686
119148323	79998428	57619492	35646675	15390154	264860
423797789	419602400	419602400	269889191	107045969	995875
123421403	76760068	51065080	30579013	14228299	402588
137063478	98040716	71914889	42543639	16029350	264860
402488889	398505389	398505389	269486603	121931122	1454966
131028193	48384693	12353088	2217764	476749	14126
103457994	43359409	7857524	653322	95350	7063
92422145	37772621	6720391	501469	74161	3531
76357480	28664956	4633291	395525	49441	7063
63467609	20207081	3623290	406119	56504	7063
48250497	11388996	2556785	324895	38846	7063
36126955	6730985	1850491	236609	35315	7063
27326528	4809864	1331365	141259	21189	7063
21005193	4304864	1211295	105944	17657	3531
19239458	4096507	1133602	81224	24720	3531
19398374	4251892	1059442	67098	17657	7063
20422501	4672137	1281924	81224	21189	7063
18501380	4096507	988812	35315	14126	3531
18384841	4223640	1017064	38846	14126	3531
17547883	3700982	907588	38846	17657	3531
17067603	3686856	801644	38846	17657	3531
17639701	3693919	766329	45909	17657	3531
17678547	3895213	889931	52972	17657	10594
16972253	3845773	787518	35315	10594	3531
16029350	3570318	699231	38846	10594	3531
15965783	3595038	769861	45909	17657	0
16410749	3690388	738078	38846	10594	3531
16297742	3750423	723952	24720	7063	0
17498442	4050598	798113	31783	7063	0
16965190	3718640	773392	28252	17657	10594
15107636	3485563	607413	28252	7063	0
16322462	3609164	727483	35315	14126	10594
15089978	3259548	702763	35315	14126	10594
14175327	3167730	614476	21189	3531	3531
15019349	3167730	642728	38846	21189	10594
14115292	2881681	561504	38846	17657	10594
14320118	3157136	579161	28252	7063	0
14302460	3125352	653322	28252	14126	3531
13744488	2849898	561504	35315	14126	3531
14189453	3167730	603882	31783	17657	7063
13295991	2818114	614476	28252	7063	0
12342493	2525002	508532	42378	24720	7063
12391934	2701576	550910	49441	7063	0
12441375	2387275	462623	21189	10594	3531
13059382	2701576	572098	24720	3531	0
12720361	2849898	681574	31783	7063	0
18882779	4435528	1419652	116539	31783	3531
23950441	5071193	1790456	165979	45909	3531
20072885	4488500	1649197	141259	38846	3531
17360715	4431997	1582099	173042	52972	7063
18628513	4520284	1705701	158916	17657	3531
23431315	5540879	2203638	282518	63566	14126
23162923	5417278	2002344	218951	63566	10594
26168205	6031754	2517939	271923	52972	7063
18409562	4933466	1825771	169511	42378	7063
23067573	5318396	2203638	236609	52972	3531
41028638	8030567	3457311	593287	141259	7063
67998487	25564323	18646170	10629730	4167137	74161
73104995	16273021	6455530	1928184	543847	17657
40463602	6056474	2002344	211888	60035	7063
46650741	8291895	3351367	469686	77692	17657
17971659	3926996	1370211	113007	10594	3531
15983441	3743360	1267798	84755	21189	0
16481378	3965843	1483218	95350	17657	7063
13518474	2984094	822833	77692	21189	0
12727424	2874618	829896	67098	10594	3531
12215360	2825177	776924	42378	14126	3531
13190047	3075912	865211	60035	14126	0
12088228	2888744	762798	56504	14126	0
11477283	2577974	685106	35315	17657	3531
11816304	2761611	727483	28252	10594	3531
12423717	2821646	702763	28252	7063	3531
10742737	2200107	568567	28252	7063	3531
12158857	2623883	529721	52972	7063	0
11625605	2779268	660385	24720	3531	0
10728611	2373149	550910	38846	10594	0
11484346	2616821	610945	28252	3531	0
11607947	2645072	575630	24720	3531	0
11597353	2599163	610945	31783	3531	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3531	3531	3531	3531	3531	3531
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3531	3531	3531	3531	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
398936228	1384337	0	0	0	0
170058018	526189	0	0	0	0
87615812	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2411995	459091	134196	63566	42378	17657
2517939	480280	123602	49441	31783	10594
3054723	565035	141259	63566	52972	14126
2563848	536784	180105	77692	35315	14126
2659198	437902	88287	31783	21189	10594
2736891	448497	127133	35315	24720	0
2680387	430840	84755	31783	14126	7063
2747485	554441	120070	42378	24720	7063
2754548	501469	95350	28252	21189	7063
3082975	512063	98881	38846	17657	7063
2945247	596819	88287	24720	10594	7063
2856961	557973	56504	21189	14126	3531
3764549	628602	102413	35315	28252	10594
3337241	600350	102413	38846	17657	7063
3171262	589756	60035	10594	3531	3531
3125352	515595	113007	38846	17657	3531
3270143	572098	84755	24720	10594	3531
3090038	497938	52972	17657	10594	3531
3157136	515595	91818	14126	7063	3531
3217171	522658	52972	10594	3531	3531
3559723	554441	74161	14126	7063	3531
3453779	557973	70629	24720	17657	7063
3390213	529721	56504	24720	10594	3531
4453186	727483	63566	7063	7063	3531
4043535	727483	84755	21189	14126	3531
4220109	731015	70629	24720	10594	0
4354305	716889	60035	3531	3531	0
3792801	670980	60035	10594	7063	3531
3708045	610945	67098	21189	10594	7063
4329584	692168	84755	14126	3531	3531
4202451	702763	60035	21189	7063	0
4280144	699231	74161	21189	10594	3531
3761017	586224	67098	17657	14126	7063
4354305	685106	35315	14126	3531	0
4287207	702763	42378	17657	7063	7063
4297801	646259	52972	7063	3531	0
3729234	618008	28252	3531	3531	3531
4386088	727483	81224	7063	3531	0
3990563	610945	45909	3531	3531	3531
4619165	663917	60035	10594	7063	0
4502626	667448	63566	3531	3531	0
4693326	734546	21189	7063	7063	3531
4170668	639196	74161	7063	3531	0
4710983	702763	70629	3531	0	0
4266018	685106	91818	3531	0	0
4386088	801644	52972	3531	3531	0
4011752	639196	52972	14126	3531	0
4149479	656854	31783	3531	3531	0
4781613	780455	60035	14126	3531	0
4251892	628602	38846	3531	3531	0
4509689	720420	49441	10594	7063	0
4085913	663917	52972	10594	7063	0
4043535	589756	52972	3531	3531	0
4092976	670980	45909	7063	3531	0
4209514	660385	31783	3531	3531	0
4223640	649791	49441	7063	0	0
4124759	628602	49441	3531	3531	3531
4181262	632133	38846	3531	3531	0
4170668	685106	56504	7063	3531	3531
4523815	621539	17657	7063	3531	0
4213046	632133	49441	10594	10594	0
4771018	815770	63566	10594	3531	0
4605039	632133	38846	7063	3531	0
4287207	759266	84755	3531	3531	3531
4326053	706294	63566	7063	3531	0
4213046	670980	77692	3531	3531	0
4410808	625070	28252	7063	7063	0
4650948	713357	60035	14126	3531	0
4290738	741609	63566	7063	7063	0
4414340	572098	38846	3531	3531	0
4318990	639196	49441	3531	3531	0
4403745	656854	31783	7063	3531	0
4693326	593287	35315	10594	0	0
4357836	639196	60035	7063	7063	0
4220109	618008	63566	7063	3531	0
4520284	706294	52972	7063	0	0
4128290	678043	42378	3531	0	0
4410808	639196	45909	14126	7063	0
4188325	589756	24720	3531	0	0
4467312	706294	38846	3531	0	0
3948185	660385	45909	10594	3531	0
4251892	678043	49441	7063	3531	0
4396682	526189	35315	3531	3531	0
4463780	727483	56504	3531	0	0
4537941	695700	42378	10594	7063	0
4230703	706294	49441	3531	3531	0
4096507	678043	35315	3531	0	0
4633291	794581	49441	3531	0	0
4315458	625070	42378	3531	0	0
4364899	674511	28252	3531	3531	0
4456717	667448	45909	7063	0	0
4523815	586224	49441	3531	0	0
4241297	674511	42378	3531	3531	0
4463780	808707	45909	3531	3531	0
4301332	660385	35315	3531	0	0
4523815	805176	42378	7063	0	0
4025878	635665	67098	7063	0	0
4015283	628602	42378	3531	0	0
4523815	653322	42378	0	0	0
4467312	688637	38846	7063	3531	0
4255423	720420	35315	3531	0	0
4502626	713357	52972	3531	0	0
4195388	656854	52972	0	0	0
4576787	780455	28252	3531	0	0
4167137	660385	49441	3531	0	0
4400214	773392	56504	0	0	0
4322521	727483	63566	7063	0	0
3948185	540315	24720	0	0	0
4276612	572098	35315	0	0	0
4357836	670980	52972	0	0	0
4213046	706294	24720	3531	0	0
4548536	660385	21189	0	0	0
4301332	653322	31783	3531	0	0
4301332	603882	35315	7063	3531	0
4153011	625070	35315	7063	3531	0
4068255	625070	63566	0	0	0
4022346	632133	67098	7063	0	0
4110633	646259	52972	3531	0	0
4150892	697113	57210	0	0	0
4561955	705588	50853	2119	0	0
4350067	673805	23308	4238	2119	0
4333116	701350	33902	4238	0	0
4250479	648378	44497	0	0	0
4142416	705588	72042	10594	4238	0
4131822	686518	52972	4238	4238	0
4218696	639903	40259	2119	0	0
4220815	658973	61448	10594	10594	2119
4178437	601763	46615	6357	4238	2119
4278025	663210	55091	8476	8476	4238
4091563	686518	55091	0	0	0
3953836	565742	46615	10594	6357	4238
4203864	622952	50853	6357	0	0
3932647	582693	38140	2119	0	0
4008927	652616	44497	6357	2119	2119
4057661	620833	52972	8476	6357	4238
4114871	627189	63566	10594	6357	2119
4140297	671686	46615	16951	8476	2119
3968668	722539	38140	2119	0	0
4027997	589049	52972	6357	4238	0
4125465	608119	46615	4238	0	0
4057661	637784	48734	2119	2119	2119
4180556	601763	57210	4238	2119	0
4032234	631427	74161	12713	6357	2119
3850010	646259	40259	8476	4238	2119
4057661	608119	36021	2119	0	0
3890269	614476	57210	10594	6357	2119
4066136	629308	55091	6357	4238	0
4072493	595406	40259	2119	0	0
4142416	644140	44497	0	0	0
4044948	625070	63566	8476	2119	0
3907220	678043	48734	4238	2119	0
4119109	644140	46615	2119	0	0
4148773	650497	27545	6357	2119	0
4153011	578455	25427	6357	2119	0
4125465	673805	27545	0	0	0
4000451	669567	55091	2119	0	0
3989857	671686	42378	0	0	0
3958073	578455	46615	2119	0	0
3930528	614476	36021	2119	0	0
3979262	709826	31783	0	0	0
4123346	629308	48734	2119	2119	0
4163605	648378	29664	4238	2119	0
4407277	705588	46615	6357	0	0
4025878	648378	23308	4238	4238	2119
3964430	665329	44497	0	0	0
4019521	686518	63566	16951	8476	0
4108514	595406	42378	4238	2119	0
3792801	658973	50853	6357	2119	0
4040710	675924	42378	8476	4238	0
3958073	635665	42378	2119	2119	0
3839416	680161	44497	4238	2119	0
3856367	616595	25427	2119	0	0
3886031	538196	27545	2119	0	0
4172081	714064	52972	0	0	0
4172081	646259	55091	0	0	0
3896626	656854	46615	0	0	0
4011046	603882	33902	4238	2119	0
4282263	697113	52972	6357	2119	0
4150892	631427	36021	6357	2119	0
3941122	603882	38140	6357	2119	0
4267430	673805	42378	2119	2119	0
3917815	631427	42378	6357	0	0
3975025	618714	31783	2119	2119	0
4108514	711945	38140	2119	0	0
