0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
10013841	1150553	93231	0	0	0
10340149	1190812	93231	2119	2119	2119
10217254	1146316	61448	4238	4238	0
9994771	1159029	67804	0	0	0
9895184	1167505	69923	2119	2119	2119
9816785	1171742	80518	4238	2119	0
10263869	1273449	95350	0	0	0
10179114	1192931	76280	0	0	0
10079526	1165386	78399	6357	2119	0
10181233	1252260	50853	0	0	0
10020198	1243784	50853	0	0	0
9871876	1103938	59329	2119	0	0
9977820	1129365	80518	4238	0	0
10253275	1084868	78399	0	0	0
10511779	1212001	101706	8476	4238	0
10232086	1214120	76280	0	0	0
10109191	1156910	76280	2119	0	0
10172757	1199288	67804	4238	0	0
10232086	1233190	78399	4238	0	0
10151568	1152672	55091	0	0	0
10185471	1165386	74161	0	0	0
10094359	1163267	63566	0	0	0
10064694	1110295	48734	4238	0	0
10113429	1184456	84755	2119	0	0
10075289	1243784	88993	0	0	0
10124023	1146316	95350	2119	0	0
9975701	1120889	57210	0	0	0
9984177	1133602	72042	2119	2119	0
9806191	1080630	44497	0	0	0
9787121	1175980	69923	2119	2119	0
9812547	1271330	78399	4238	2119	2119
9738386	1180218	67804	2119	0	0
10024435	1209882	80518	2119	0	0
9918491	1190812	67804	0	0	0
9848568	1222595	91112	2119	2119	0
9999009	1178099	65685	0	0	0
10051981	1114532	63566	2119	0	0
9939680	1197169	88993	0	0	0
10015960	1220477	72042	0	0	0
9975701	1201407	74161	2119	0	0
9736267	1235309	61448	2119	0	0
9846449	1167505	69923	0	0	0
9861281	1178099	72042	0	0	0
9905778	1180218	69923	0	0	0
9880351	1300994	76280	0	0	0
10232086	1233190	69923	2119	0	0
9604897	1150553	99588	6357	2119	0
9958750	1184456	88993	2119	0	0
9827379	1178099	67804	0	0	0
9568876	1188693	38140	0	0	0
9498952	1214120	67804	2119	0	0
9562519	1173861	78399	4238	0	0
9814666	1203526	82636	2119	0	0
9825260	1074274	76280	2119	0	0
9710841	1135721	48734	0	0	0
9924848	1142078	65685	0	0	0
10143093	1139959	57210	2119	2119	0
9435386	1241665	57210	2119	0	0
9742624	1103938	65685	2119	0	0
9999009	1171742	59329	2119	0	0
9840093	1171742	67804	0	0	0
9672701	1207763	78399	2119	2119	0
9706603	1195050	65685	2119	2119	0
9920610	1192931	78399	4238	2119	0
9623967	1180218	76280	0	0	0
9787121	1212001	67804	0	0	0
10157925	1212001	80518	0	0	0
9638799	1120889	48734	0	0	0
9943918	1220477	61448	0	0	0
10246918	1252260	74161	4238	2119	0
9613372	1103938	63566	2119	0	0
9842212	1099700	46615	0	0	0
9734149	1148435	67804	2119	0	0
9581589	1167505	65685	2119	0	0
9975701	1118770	74161	0	0	0
9734149	1180218	108063	0	0	0
9558281	1161148	74161	2119	0	0
9647274	1233190	84755	0	0	0
9496834	1116651	57210	0	0	0
9494715	1095463	52972	0	0	0
9490477	1228952	80518	0	0	0
9821023	1180218	67804	0	0	0
9729911	1146316	84755	0	0	0
9585827	1233190	91112	4238	2119	0
9810428	1044609	88993	2119	0	0
9619729	1133602	69923	0	0	0
10204541	1250141	74161	0	0	0
9573113	1086987	65685	0	0	0
9630323	1284043	69923	2119	0	0
9835855	1148435	74161	0	0	0
9668463	1209882	65685	0	0	0
9537092	1184456	57210	2119	0	0
9850687	1190812	63566	2119	0	0
10187589	1260735	93231	0	0	0
10278701	1205644	88993	2119	0	0
9933324	1135721	72042	0	0	0
9537092	993756	55091	2119	2119	0
10058338	1169623	76280	2119	0	0
10107072	1116651	61448	2119	0	0
9971463	1195050	78399	0	0	0
10246918	1146316	84755	2119	0	0
9857044	1205644	72042	2119	0	0
10323198	1209882	74161	0	0	0
10145212	1144197	46615	0	0	0
9899421	1205644	74161	2119	2119	0
10238443	1207763	76280	2119	2119	0
10077408	1199288	65685	0	0	0
