0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4604333	745847	52972	4238	0	0
4686969	737371	61448	2119	0	0
4650948	714064	61448	2119	0	0
4676375	764917	50853	4238	0	0
4841648	769155	46615	2119	0	0
4655186	777630	55091	2119	0	0
4699682	741609	63566	4238	0	0
4532291	758560	42378	0	0	0
4765368	790343	57210	2119	0	0
4752655	690756	61448	2119	0	0
4593738	699231	36021	2119	0	0
4811983	811532	50853	0	0	0
4581025	758560	38140	2119	2119	0
4610689	811532	65685	0	0	0
4670018	792462	52972	0	0	0
4667899	752203	59329	0	0	0
4691207	805176	42378	0	0	0
4769606	714064	38140	0	0	0
4771725	813651	57210	2119	0	0
4564074	694994	59329	0	0	0
4466605	767036	57210	2119	0	0
4640354	735252	42378	4238	2119	0
4489913	728896	52972	2119	0	0
4809864	767036	61448	2119	0	0
4504745	750085	44497	2119	0	0
4570431	726777	50853	0	0	0
4470843	669567	44497	0	0	0
4712396	803057	46615	4238	2119	0
4775962	750085	59329	0	0	0
4646710	692875	33902	2119	0	0
4574668	686518	46615	2119	2119	0
4515340	762798	31783	2119	0	0
4462368	739490	61448	2119	0	0
4583144	684399	29664	2119	0	0
4720871	718301	50853	0	0	0
4587382	711945	48734	0	0	0
4706039	764917	57210	0	0	0
4718752	786106	50853	2119	0	0
4657305	764917	52972	0	0	0
4528053	737371	61448	0	0	0
4597976	705588	48734	2119	0	0
4479319	665329	33902	2119	0	0
4517459	658973	50853	4238	0	0
4695445	756441	52972	2119	0	0
4712396	739490	67804	0	0	0
4663661	726777	42378	0	0	0
4667899	754322	61448	0	0	0
4799270	777630	61448	2119	0	0
4767487	775511	63566	0	0	0
4792913	758560	55091	0	0	0
4644592	741609	38140	0	0	0
4684850	733134	57210	0	0	0
4621284	720420	69923	0	0	0
4608571	769155	44497	2119	0	0
4686969	800938	48734	0	0	0
4479319	752203	50853	0	0	0
4561955	720420	33902	2119	0	0
4682731	701350	50853	2119	0	0
4619165	747966	42378	0	0	0
4797151	790343	44497	0	0	0
4689088	779749	69923	2119	0	0
4595857	724658	42378	0	0	0
4773843	779749	55091	0	0	0
4581025	671686	31783	2119	0	0
4585263	764917	44497	2119	0	0
4631878	741609	52972	0	0	0
4587382	790343	50853	0	0	0
4606452	737371	40259	0	0	0
4610689	671686	52972	0	0	0
4602214	671686	36021	2119	0	0
4564074	788224	61448	2119	0	0
4498389	669567	42378	0	0	0
4684850	722539	40259	0	0	0
5017515	809413	65685	0	0	0
4547123	707707	50853	0	0	0
4617046	767036	52972	2119	2119	0
4790794	820008	61448	2119	0	0
4638235	733134	36021	0	0	0
4479319	803057	46615	0	0	0
